discharge,accumalted current ,SOC,,,charge ,accumalted current,SOC,,,,,,
-338,-36467.5,1.810648405,,,251.4,,,,,,,,
-273.3,-36740.8,1.824218028,,,250.5,,,,,,,,
-197.5,-36938.3,1.834024103,,,248.5,,,,,,,,
-273,-37211.3,1.84757883,,,247.5,,,,,,,,
-265.5,-37476.8,1.860761175,,,243.7,,,,,,,,
-274,-37750.8,1.874365553,,,245.7,,,,,,,,
-207.9,-37958.7,1.884687999,,,248.1,,,,,,,,
-273.4,-38232.1,1.898262587,,,272.5,,,,,,,,
-264.4,-38496.5,1.911390315,,,257.5,,,,,,,,
-254.7,-38751.2,1.924036429,,,235.7,,,,,,,,
-267,-39018.2,1.93729325,,,238.3,,,,,,,,
-274.3,-39292.5,1.950912524,,,265.4,,,,,,,,
-265.1,-39557.6,1.964075008,,,232,,,,,,,,
-265.8,-39823.4,1.977272248,,,246.8,,,,,,,,
-192.4,-40015.8,1.986825103,,,232,,,,,,,,
-268.3,-40284.1,2.00014647,,,248.4,,,,,,,,
-260.7,-40544.8,2.01309049,,,259.1,,,,,,,,
-334.3,-40879.1,2.029688825,,,256.3,,,,,,,,
-263.6,-41142.7,2.042776832,,,254.7,,,,,,,,
-198.4,-41341.1,2.052627594,,,230.1,,,,,,,,
-266.1,-41607.2,2.065839729,,,252.1,,,,,,,,
-210.8,-41818,2.076306163,,,250.6,,,,,,,,
-278.8,-42096.8,2.090148866,,,249.1,,,,,,,,
-270.9,-42367.7,2.103599326,,,247.9,,,,,,,,
-216.1,-42583.8,2.114328911,,,247.1,,,,,,,,
-263.5,-42847.3,2.127411953,,,245.3,,,,,,,,
-194.8,-43042.1,2.137083971,,,244.3,,,,,,,,
-258.3,-43300.4,2.149908828,,,242.2,,,,,,,,
-282.1,-43582.5,2.16391538,,,240.6,,,,,,,,
-213,-43795.5,2.174491046,,,260.3,,,,,,,,
-252.7,-44048.2,2.187037858,,,238.9,,,,,,,,
-270.7,-44318.9,2.200478388,,,267.2,,,,,,,,
-257.9,-44576.8,2.213283384,,,236.9,,,,,,,,
-259.3,-44836.1,2.226157893,,,244.3,,,,,,,,
-207.5,-45043.6,2.236460478,,,232.6,,,,,,,,
-267.2,-45310.8,2.24972723,,,232.7,,,,,,,,
-202.2,-45513,2.259766665,,,261.9,,,,,,,,
-267.5,-45780.5,2.273048312,,,230.5,,,,,,,,
-213.6,-45994.1,2.283653769,,,248.9,,,,,,,,
-238.5,-46232.6,2.295495536,,,259.1,,,,,,,,
-332,-46564.6,2.311979673,,,255.6,,,,,,,,
-235.8,-46800.4,2.323687382,,,225.3,,,,,,,,
-252.6,-47053,2.336229229,,,253.3,,,,,,,,
-237.6,-47290.6,2.34802631,,,251.5,,,,,,,,
-209.7,-47500.3,2.358438128,,,250,,,,,,,,
-269.2,-47769.5,2.371804181,,,249.7,,,,,,,,
-193.5,-47963,2.381411653,,,247.7,,,,,,,,
-265.4,-48228.4,2.394589032,,,257.6,,,,,,,,
-264.5,-48492.9,2.407721726,,,274.8,,,,,,,,
-268.1,-48761,2.421033163,,,245.2,,,,,,,,
-263.8,-49024.8,2.434131101,,,268.2,,,,,,,,
-211.4,-49236.2,2.444627326,,,241.1,,,,,,,,
-251.4,-49487.6,2.457109591,,,259,,,,,,,,
-232.4,-49720,2.468648487,,,239.5,,,,,,,,
-281.4,-50001.4,2.482620283,,,237.6,,,,,,,,
-264.2,-50265.6,2.495738081,,,235.6,,,,,,,,
-280.4,-50546,2.509660226,,,266.8,,,,,,,,
-269,-50815,2.523016349,,,233.6,,,,,,,,
-270.5,-51085.5,2.536446949,,,250.7,,,,,,,,
-262.6,-51348.1,2.549485305,,,264,,,,,,,,
-264.6,-51612.7,2.562622964,,,238.8,,,,,,,,
-250.7,-51863.4,2.575070473,,,228.1,,,,,,,,
